symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BTC/USD,2023-03-01,23538.72,23676.49,23502.63,23629.97,213.384318012,4919.0,23596.418948
BTC/USD,2023-03-02,23635.29,23793.18,23597.64,23609.63,318.878429,6569.0,23688.977793
BTC/USD,2023-03-02,23609.63,23641.1,23453.99,23521.3,278.31914635,6289.0,23558.166674
BTC/USD,2023-03-02,23520.99,23547.55,23452.0,23504.59,189.48961769,3704.0,23513.112018
BTC/USD,2023-03-02,23501.89,23520.36,23430.25,23504.86,113.463744833,2997.0,23493.066534
BTC/USD,2023-03-02,23499.16,23548.93,23476.49,23539.4,72.035656,1687.0,23512.086931
BTC/USD,2023-03-02,23538.89,23547.83,23420.0,23452.86,108.083264,2242.0,23483.682054
BTC/USD,2023-03-02,23454.26,23479.25,23384.32,23443.11,113.029014336,2946.0,23439.873692
BTC/USD,2023-03-02,23442.87,23454.29,23344.64,23392.0,181.354463,3597.0,23395.570009
BTC/USD,2023-03-02,23393.74,23465.0,23347.37,23440.63,166.629959431,3830.0,23409.653139
BTC/USD,2023-03-02,23440.09,23469.61,23391.18,23406.77,87.474993251,2158.0,23432.086879
BTC/USD,2023-03-02,23406.46,23419.72,23340.91,23375.54,102.996342256,2525.0,23385.915956
BTC/USD,2023-03-02,23378.37,23430.47,23359.66,23414.6,111.666334054,2343.0,23392.692417
BTC/USD,2023-03-02,23415.72,23443.91656654,23317.78,23354.06,162.876766484,3253.0,23373.666528
BTC/USD,2023-03-02,23353.37,23409.09,23246.34,23310.68,384.158334831,8109.0,23340.528639
